"idchem","label","definition"
110001,"Abrasives dust","Dust generated from abrasives during the manufacturing of abrasives or during abrading, smoothing, or polishing of metals, wood, stones, concrete, jewelry, etc.  The abrasive could be of a single composition such as silica, or aggregate material containing alumina or silicon carbide, with binders such as vitrified glass, resins or rubber.  "
110002,"Inorganic insulation dust","Dust arising from the placement or removal of any inorganic heat insulating materials including asbestos (chrysotile or amphibole), mineral wool, glass fibers and vermiculite/perlite.  "
110005,"Metallic dust","Any metal dusts generated, regardless of the specific metals involved or whether they are known or unknown.  Most metals will have undergone a certain amount of surface oxidation but exposure to specific metal oxides (e.g., lead oxides; iron oxides) was coded only when the main exposure was to the oxide itself and not to the metal dust.  "
110007,"Chrysotile asbestos","Naturally occuring fibrous hydrated silicates.  Asbestos fibers can be divided on the basis of mineralogical features into two groups: serpentines and amphiboles.  Chrysotile fibres are curly serpentine fibers made up of tiny individual fibrils which take the shape of a spirally wound tube.  Chrysotile asbestos is the type most used for textiles, friction materials (e.g. brake and clutch linings) and floor tiles.  "
110008,"Amphibole asbestos","Naturally occuring fibrous hydrated silicates.  Asbestos fibers can be divided on the basis of mineralogical features into two groups: serpentines and amphiboles.  The amphibole fibers are straight and needle-like silicate structures generally more brittle than chrysotile asbestos fibers.    "
110009,"Cristalline silica","The crystalline forms of free silica are quartz, cristobalite and tridymite.  Many sands, clays and rocks are largely composed of small silica crystals; exposure to silica occurred mainly because of sand used in construction, in sand blasting, in foundry molds, clay, glass and stone processing, pottery and brick making.  Exposure also occurred to workers involved in mining, quarrying, and rock and soil drilling.  "
110010,"Portland cement","A powder that can be made into a paste by the addition of water, used in construction for bonding bricks, concrete blocks and stone and for producing concrete slabs, pipes, etc.  It consists of about 75% calcium silicates, 5-10% calcium aluminates, 5% calcium sulphate, 5 to 10% calcium-aluminium-iron compounds and 1 to 4% oxides of sodium, potassium and magnesium.  "
110011,"Glass dust","Glass is an inorganic product of fusion which has cooled to a rigid solid without undergoing crystallization.  The properties of glasses are determined by their chemical composition and since this can vary infinitely, there are thousands of different glasses available.  Potential exposures have been in the construction industry (cutting and installing glass doors and windows) and during grinding, buffing or polishing of optical lenses, prisms, and reflective optics. "
110012,"Glass fibres","Manufactured from the raw ingredients of glass but with processes designed to create fibrous material.  These filament fibers have been used mainly as insulators, as plastic reinforcing materials and in special textiles.  "
110013,"Industrial talc","Talcs are hydrated magnesium silicates.  Depending on where it is mined, commercially available industrial talc is very often geologically associated with other minerals including carbonates, quartz and varying amounts of asbestos minerals (amphiboles and serpentine) in the form of chains or fibres.  Industrial grade talcs are widely used as extenders in paints, plastics, ceramic products and paper coatings and in the rubber industry as extenders and dusting powders.  "
110014,"Brick dust","Dust generated by the cutting or breaking of bricks, excluding fireclay bricks used for refractory purposes.  Included are bricks made from hard burned clay used for buildings, walls and paving, and bricks used for fancy walls which are made with sand or lime.  "
110015,"Clay dust","Most clays are composed mainly of silica and alumina; they form a paste with water and can be hardened when heated.  Clays have been used for making pottery, tiles, bricks, pipes and refractory materials and as extender pigments in paints.  "
110016,"Concrete dust","Dust generated by the cutting, polishing or breaking of concrete which consists of Portland cement, sand, gravel or crushed rock and water.  Cast concrete is placed in forms, in a wet state, at the point of use at the construction site and allowed to harden into the form of beams, floor slabs and walls. "
110017,"Refractory brick dust","Dust generated by cutting or breaking of refractory bricks.  These bricks are used to withstand the effect of thermal, chemical and physical extremes met within furnaces during standard operating procedures.  Although silica and fire-clay bricks are the most widely used, alumino-silicate, basic or other refractories are included.  The steel industry has been the largest consumer of refractory bricks for the lining of blast furnaces, stoves, open hearths and other furnaces.  Other industrial uses include foundries, pottery kilns, boilers and glass furnaces.  "
110018,"Bronze dust","Dust generated when objects made of bronze are cut, abraded, machined, polished, etc.  The term bronze is generally applied to any copper alloy where tin is the other major alloying element, although small amounts of other elements are added to modify the characteristics of the bronzes.  The product obtained by adding tin to copper is more fusible than copper and thus better suited for casting.  "
110019,"Brass dust","Dust generated when objects made of brass are cut, abraded, machined, polished, etc.  Brasses are the most widely used alloys of copper.  They are fundamentally binary alloys of copper with zinc but often their properties are modified by addition of other elements in small amounts.  Brasses are stronger than copper and are used in structural applications.  Uses include bullet jackets, imitation gold jewelry, plumbing hardware, pipes, radiator cases and condenser tubing.  "
110020,"Stainless steel dust","Dust generated when objects made of this metal are cut, abraded, machined, polished, etc.  Stainless steel is available in many different compositions but the most common one, usually known as 18-8 stainless steel, is 18% chromium and 8% nickel.  Many other elements such as titanium, molybdenum, niobium, silicon and others are also added in small quantities to customize the steel for special purposes. "
110021,"Mild steel dust","Dust generated when objects made of this metal are cut, abraded, machined, polished, etc.  Mild steel is essentially a combination of iron and carbon (less than 2% carbon).  All steels contain manganese (usually at least 0.3%) and small amounts of other metals, which provide the strength and hardness that is required by the construction and manufacturing industries.  "
110024,"Inorganic pigments","Insoluble white or colored powders of very  fine particle size (0.01 to 1.0 microns) which imparts color and/or other properties (e.g. anti-corrosive properties) to other materials either when mixed intimately with them (dispersion or suspension) or when applied over their surfaces in a thin layer.  Inorganic pigments can be subdivided into white (which includes titanium dioxide) , and other colors (iron oxides, lead chromate, etc.) both of which can be of natural or synthetic origin.  Organic pigments were coded separately.  "
110025,"Mineral wool fibers","Mineral wool is a glassy fibrous silicate material made by melting and fiberizing slags (slag wool) or natural rocks (rock wool).  Mineral wool has been used since the 1930s, mainly as a thermal and acoustical insulator. "
110026,"Extenders","A variety of substances used to modify the physical, thermal, mechanical or electrical properties of the products (paints and metal coatings, adhesives, rubber and plastics) to which they are added or to reduce the overall cost of such products.  The chemical composition and function of an extender depend on the industry in which the extender is used.  Highest exposure concentrations to extenders occurred during the blending of the raw materials.  "
110029,"Ashes","The non-combustible residue left after the burning of any susbtance.   They contain the residues of all non-volatile substances (e.g. oxides, salts, non-metallic elements) that may have been present in fuel.  They are found in largest quantities in industrial processes in which fuel is converted into heat in furnaces, kilns, ovens and boilers.  "
110030,"Mica","A group of silicate minerals with monoclinic crystals which break off easily into thin tough scales.  One of the most common is potash mica [H2KAl3(SiO4)3 ].  Micas are well known for their dielectric properties and have been used as electrical and heat insulators and as extenders in plastics, paints, and in roofing shingles.  "
