"Category","Group","Family","SubFamily","idchem","children","LblEn","LblFr"
600010,660111,110001,NA,"110009",0,"Cristalline silica","Silice cristalline"
600010,660111,110001,NA,"111301",0,"Alumina","Alumine"
600010,660111,110001,NA,"111401",0,"Silicon carbide","Carbure de Silicium"
600010,660111,110002,NA,"110007",0,"Chrysotile asbestos","Amiante chrysotile"
600010,660111,110002,NA,"110008",0,"Amphibole asbestos","Amiante amphibole"
600010,660111,110002,NA,"110012",0,"Glass fibres","Fibres de verre"
600010,660111,110002,NA,"110025",0,"Mineral wool fibres","Fibres de laine minérale"
600010,660111,110005,NA,"110018",0,"Bronze dust","Poussière de bronze"
600010,660111,110005,NA,"110019",0,"Brass dust","Pussière de laiton"
600010,660111,110005,NA,"110020",0,"Stainless steel dust","Poussière d'acier"
600010,660111,110005,NA,"110021",0,"Mild steel dust","Poussièere d'acier doux"
600010,660111,110024,NA,"112201",0,"Titanium dioxide","Dioxyde de titane"
600010,660111,110024,NA,"112601",0,"Iron oxides","Oxydes de fer"
600010,660111,110024,NA,"113001",0,"Zinc oxide","Oxyde de zinc"
600010,660111,110024,NA,"118201",0,"Lead oxides","Oxydes de Plomb"
600010,660111,110024,NA,"118204",0,"Basic lead carbonate","Carbonate basique de Plomb"
600010,660111,110024,NA,"118205",0,"Lead chromate","Chromate de Plomb"
600010,660111,110026,NA,"110013",0,"Industrial talc","Talc industriel"
600010,660111,110026,NA,"110015",0,"Clay dust","Poussière d'argile"
600010,660111,110026,NA,"110030",0,"Mica","Mica"
600010,660111,110026,NA,"110033",0,"Cosmetic talc","Talc cosmétique"
600010,660111,110026,NA,"112005",0,"Calcium carbonate","Carbonate de calcium"
600010,660111,666112,NA,"110010",0,"Portland cement","Ciment Portland"
600010,660111,666112,NA,"110014",0,"Brick dust","Poussière de brique"
600010,660111,666112,NA,"110016",0,"Concrete dust","Poussière de béton"
600010,660111,666112,NA,"110017",0,"Refractory brick dust","Poussière de brique refractaire"
600010,660111,666112,NA,"112001",0,"Calcium oxide","Oxyde de calcium"
600010,660111,666112,NA,"112002",0,"Calcium sulphate","Sulfate de calcium"
600010,660111,666811,NA,"110011",0,"Glass dust","Poussière de verre"
600010,660111,666811,NA,"110029",0,"Ashes","Cendres"
600010,660111,666811,NA,"111101",0,"Sodium carbonate","Carbonate de sodium"
600010,660111,666811,NA,"111102",0,"Sodium hydrosulphite","Hydrosulfite de sodium"
600010,660111,666811,NA,"111600",0,"Sulfur","Soufre"
600010,660211,666212,NA,"210901",0,"Hydrogen fluoride","Fluorure d'hydrogène"
600010,660211,666212,NA,"211602",0,"Hydrogen sulphide","Sulfure d'hydrogène"
600010,660211,666212,NA,"211701",0,"Hydrogen chloride","Chlorure d'hydrogène"
600010,660211,666821,NA,"210100",0,"Hydrogen","Hydrogène"
600010,660211,666821,NA,"210601",0,"Carbon monoxide","Monoxyde de carbone"
600010,660211,666821,NA,"210701",0,"Ammonia","Ammoniac"
600010,660211,666821,NA,"210801",0,"Ozone","Ozone"
600010,660211,666821,NA,"211601",0,"Sulphur dioxide","Dioxyde de soufre"
600010,660211,666821,NA,"211700",0,"Chlorine","Chlore"
600010,660211,666821,NA,"211702",0,"Chlorine dioxide","Dioxyde de chlore"
600010,660311,666312,NA,"311301",0,"Aluminium fumes","Fumées d'aluminium"
600010,660311,666312,NA,"312001",0,"Calcium oxide fumes","Fumées d'oxyde de calcium"
600010,660311,666312,NA,"312201",0,"Titanium dioxide fumes","Fumées de dioxyde de titane"
600010,660311,666312,NA,"312401",0,"Chromium fumes","Fumées de chrome"
600010,660311,666312,NA,"312501",0,"Manganese fumes","Fumées de manganèse"
600010,660311,666312,NA,"312601",0,"Iron fumes","Fumées de fer"
600010,660311,666312,NA,"312801",0,"Nickel fumes","Fumées de nickel"
600010,660311,666312,NA,"312901",0,"Copper fumes","Fumées de cuivre"
600010,660311,666312,NA,"313001",0,"Zinc fumes","Fumées de zinc"
600010,660311,666312,NA,"314701",0,"Silver fumes","Fumées d'argent"
600010,660311,666312,NA,"314801",0,"Cadmium fumes","Fumées de cadmium"
600010,660311,666312,NA,"315001",0,"Tin fumes","Fumées d'étain"
600010,660311,666312,NA,"318201",0,"Lead fumes","Fumées de plomb"
600010,660411,410001,NA,"410704",0,"Nitric acid","Acide nitrique"
600010,660411,410001,NA,"411501",0,"Phosphoric acid","Acide phosphorique"
600010,660411,410001,NA,"411603",0,"Sulphuric acid","Acide sulfurique"
600010,660411,666841,NA,"410802",0,"Hydrogen peroxide","Peroxyde d'hydrogène"
600010,660511,NA,NA,"510003",0,"Chromium (VI)","Composés du chrome (VI)"
600010,660511,NA,NA,"510499",0,"Beryllium","Composés du béryllium"
600010,660511,NA,NA,"511299",0,"Magnesium","Composés du magnésium"
600010,660511,NA,NA,"511399",0,"Aluminium","Composés de l'aluminium"
600010,660511,NA,NA,"512299",0,"Titanium","Composés du titane"
600010,660511,NA,NA,"512399",0,"Vanadium","Composés du vanadium"
600010,660511,NA,NA,"512499",0,"Chromium","Composés du chrome"
600010,660511,NA,NA,"512599",0,"Manganese","Composés du manganèse"
600010,660511,NA,NA,"512699",0,"Iron","Composés du fer"
600010,660511,NA,NA,"512799",0,"Cobalt","Composés du cobalt"
600010,660511,NA,NA,"512899",0,"Nickel","Composés du nickel"
600010,660511,NA,NA,"512999",0,"Copper","Composés du cuivre"
600010,660511,NA,NA,"513099",0,"Zinc","Composés du zinc"
600010,660511,NA,NA,"513399",0,"Arsenic","Composés de l'arsenic"
600010,660511,NA,NA,"513499",0,"Selenium","Composés du sélénium"
600010,660511,NA,NA,"514799",0,"Silver","Composés de l'argent"
600010,660511,NA,NA,"514899",0,"Cadmium","Composés du cadmium"
600010,660511,NA,NA,"515099",0,"Tin","Composés de l'étain"
600010,660511,NA,NA,"515199",0,"Antimony","Composés de l'antimoine"
600010,660511,NA,NA,"517499",0,"Tungsten compounds","Composés du tungstène"
600010,660511,NA,NA,"518099",0,"Mercury","Composés du mercure"
600010,660511,NA,NA,"518299",0,"Lead","Composés du plomb"
600010,660891,NA,NA,"510001",0,"Cyanides","Cyanures"
600010,660891,NA,NA,"510002",0,"Fluorides","Fluorures"
600010,660891,NA,NA,"510004",0,"Hypochlorites","Hypochlorites"
600010,660891,NA,NA,"510005",0,"Nitrates","Nitrates"
600020,660121,140004,NA,"140009",0,"Cork dust","Poussière de liège"
600020,660121,150002,NA,"150002",0,"Plastic dusts","Poussières de matière plastique"
600020,660121,150002,NA,"150012",0,"Cellulose acetate","Acétate de cellulose"
600020,660121,150002,NA,"150013",0,"Cellulose nitrate","Nitrate de cellulose"
600020,660121,150002,NA,"150014",0,"Polyethylene","Polyéthylène"
600020,660121,150002,NA,"150015",0,"Polypropylene","Polypropylène"
600020,660121,150002,NA,"150016",0,"Polystyrene","Polystyrène"
600020,660121,150002,NA,"150017",0,"Poly(vinyl chloride)","Poly(chlorure de vinyle)"
600020,660121,150002,NA,"150018",0,"Poly(vinyl acetate)","Poly(acétate de vinyle)"
600020,660121,150002,NA,"150019",0,"Polyamides","Polyamides"
600020,660121,150002,NA,"150020",0,"Polyacrylates","Polyacrylates"
600020,660121,150002,NA,"150023",0,"Epoxies","Époxy"
600020,660121,150002,NA,"150024",0,"Phenol-formaldehyde","Phénol-formaldéhyde"
600020,660121,150002,NA,"150025",0,"Urea-formaldehyde","Urée-formaldéhyde"
600020,660121,150002,NA,"150026",0,"Melamine-formaldehyde","Mélamine-formaldéhyde"
600020,660121,150002,NA,"150027",0,"Polyurethanes","Polyuréthanes"
600020,660121,150002,NA,"150028",0,"Polyesters","Polyesters"
600020,660121,170006,NA,"140018",0,"Natural rubber","Caoutchouc naturel"
600020,660121,170006,NA,"150029",0,"Styrene-butadiene rubber","Caoutchouc styrène-butadiène"
600020,660121,170006,NA,"150030",0,"Polychloroprene","Polychloroprène"
600020,660121,666122,NA,"140007",0,"Fur dust","Poussière de fourrure"
600020,660121,666122,NA,"140010",0,"Hair dust","Poussière de cheveux"
600020,660121,666122,NA,"140016",0,"Leather dust","Poussière de cuir"
600020,660121,666124,NA,"140005",0,"Grain dust","Poussière de grain"
600020,660121,666124,NA,"140006",0,"Flour dust","Poussière de farine"
600020,660121,666124,NA,"140012",0,"Starch dust","Poussière d'amidon"
600020,660121,666126,150001,"150007",0,"Rayon fibres","Fibres de rayonne"
600020,660121,666126,150001,"150008",0,"Acrylic fibres","Fibres acryliques"
600020,660121,666126,150001,"150009",0,"Polyester fibres","Fibres polyester"
600020,660121,666126,150001,"150010",0,"Nylon fibres","Fibres de nylon"
600020,660121,666126,150001,"150011",0,"Acetate fibres","Fibres d'acétate"
600020,660121,666126,666621,"140001",0,"Cotton dust","Poussière de coton"
600020,660121,666126,666621,"140002",0,"Wool fibres","Fibres de laine"
600020,660121,666126,666621,"140003",0,"Silk fibres","Fibres de soie"
600020,660121,666126,666621,"140008",0,"Flax fibres","Fibres de lin"
600020,660121,666126,666621,"140015",0,"Felt dust","Poussière de feutre"
600020,660121,666812,NA,"130001",0,"Organic dyes and pigments","Teintures et pigments organiques"
600020,660121,666812,NA,"140013",0,"Sugar dust","Poussière de sucre"
