"ID","JOB","YEARIN","YEAROUT","CCDP1971","CNP2011","USASOC2010","CITP1968","CTI1980","SCIAN2012","CITI1968","study"
"OSaa01",1,1929,1933,"4153-126",1521,"43-5071","3-91.20",2443,315249,3220,"MCS"
"OSaa01",2,1934,1939,"5133-199",6411,"41-4012","4-32.20",5941,414460,6100,"MCS"
"OSaa01",3,1940,1984,"5130-114",621,"41-1011","4-10.30",5941,414460,6100,"MCS"
"OSaa02",1,1941,1944,"7181-110",8431,"45-2092","6-21.05",171,111999,1110,"MCS"
"OSaa02",2,1945,1950,"8568-182",9619,"51-9199","9-99.10",1712,316210,3240,"MCS"
"OSaa02",3,1945,1950,"7513-122",8421,"45-4021","6-31.10",412,113312,1220,"MCS"
"OSaa02",4,1951,1985,"5135-142",6421,"41-2031","4-51.30",6211,442110,6200,"MCS"
"OSaa03",1,1937,1938,"5193-118",7514,"53-3031","9-85.50",5213,413120,6100,"MCS"
"OSaa03",2,1939,1942,"8568-182",6343,"51-6041","8-01.10",1712,316210,3240,"MCS"
"OSaa03",3,1943,1946,"6117-190",4313,"55-3016","0-00.00",8111,911110,9100,"MCS"
"OSaa03",4,1947,1953,"8791-110",7252,"47-2152","8-71.10",4241,238220,5000,"MCS"
"OSaa03",5,1954,1956,"8793-134",9521,"51-2011","8-74.70",3211,336410,3845,"MCS"
"OSaa03",6,1957,1961,"8161-218",9421,"51-9011","7-41.40",3751,325510,3521,"MCS"
"OSaa03",7,1962,1985,"8799-126",7311,"49-9071","8-49.70",3751,325510,3521,"MCS"
"OSaa04",1,1950,1955,"1171-114",1111,"13-2011","1-10.10",7731,541212,8322,"MCS"
"OSaa04",2,1955,1969,"1171-114",1111,"13-2011","1-10.10",7511,531310,8310,"MCS"
"OSaa04",3,1969,1981,"1135-110",111,"11-3031","2-19.50",7511,531310,8310,"MCS"
"OSaa05",1,1942,1943,"8541-156",7272,"51-7011","8-11.20",2611,337123,3320,"MCS"
"OSaa05",2,1943,1945,"8536-202",9523,"51-9061","8-59.20",3359,334310,3832,"MCS"
"OSaa05",3,1945,1948,"5135-199",6421,"41-2031","4-51.30",6552,443146,6200,"MCS"
"OSaa05",4,1948,1950,"4197-114",1411,"43-9061","3-93.10",4243,238220,5000,"MCS"
"OSaa05",5,1950,1960,"4197-114",1411,"43-9061","3-93.10",1011,311614,3111,"MCS"
"OSaa05",6,1960,1967,"4197-114",1411,"43-9061","3-93.10",5919,418110,6100,"MCS"
"OSaa05",7,1967,1970,"4131-138",1431,"43-3031","3-31.90",7731,541212,8322,"MCS"
"OSaa05",8,1970,1977,"4131-110",1431,"43-3031","3-31.20",9721,812320,9520,"MCS"
"OSaa06",1,1943,1945,"8526-399",9537,"51-9061","9-49.80",3099,332999,3819,"MCS"
"OSaa06",2,1946,1950,"2163-154",2253,"17-3013","0-32.20",3193,333245,3823,"MCS"
"OSaa06",3,1951,1960,"2163-146",2253,"17-3019","0-32.90",3071,333413,3813,"MCS"
"OSaa06",4,1961,1982,"5131-134",6221,"41-4011","4-31.20",3199,333519,3823,"MCS"
"OSaa07",1,1958,1980,"1147-170",512,"11-1021","2-11.10",4813,515120,9413,"MCS"
"OSaa11",1,1936,1941,"9318-114",7452,"53-7062","9-71.90",2691,337910,3320,"MCS"
"OSaa11",2,1942,1947,"4153-150",1521,"43-5071","3-91.20",1121,312140,3131,"MCS"
"OSaa11",3,1948,1956,"9315-118",7452,"53-7011","9-71.45",1094,311214,3133,"MCS"
"OSaa11",4,1957,1975,"4153-150",1521,"43-5071","3-91.20",1041,311511,3112,"MCS"
"OSaa11",5,1976,1984,"4153-118",1521,"43-5071","3-91.20",3191,333910,3813,"MCS"
"OSaa12",1,1931,1936,"7181-110",8431,"45-2092","6-21.05",171,112991,1110,"MCS"
"OSaa12",2,1936,1942,"2131-122",2123,"25-9021","0-53.20",8272,912910,9100,"MCS"
"OSaa12",3,1942,1956,"7113-122",8252,"45-1011","6-00.20",114,112391,1110,"MCS"
"OSaa12",4,1956,1958,"6130-114",632,"11-9081","5-00.20",9111,721111,6320,"MCS"
"OSaa12",5,1958,1974,"7113-122",8252,"45-1011","6-00.20",5019,411190,6100,"MCS"
"OSaa12",6,1974,1980,"6115-138",6541,"33-9032","5-82.40",7791,561612,8329,"MCS"
"OSaa13",1,1930,1962,"7131-110",821,"11-9013","6-00.20",171,112991,1110,"MCS"
"OSaa13",2,1965,1967,"8335-342",9612,"51-9198","7-29.40",9942,811310,3819,"MCS"
"OSaa13",3,1973,1978,"6191-114",6731,"37-2012","5-52.20",4821,517111,9413,"MCS"
"OSaa14",1,1963,1973,"9175-122",7511,"53-3032","9-85.60",4561,484110,7114,"MCS"
"OSaa14",2,1973,1983,"9315-126",7452,"53-7051","9-79.20",4561,484110,7114,"MCS"
"OSaa15",1,1950,1970,"5137-114",6421,"41-2031","4-51.30",6211,442110,6200,"MCS"
"OSaa15",2,1970,1972,"5130-118",6211,"41-1011","4-00.30",6331,447190,6200,"MCS"
"OSaa15",3,1972,1981,"9173-110",7513,"53-3041","9-85.30",4581,485310,7113,"MCS"
"OSaa15",4,1981,1983,"6115-138",6541,"33-9032","5-82.40",8511,611110,9310,"MCS"
"OSaa18",1,1946,1951,"9173-110",7513,"53-3041","9-85.30",4581,485310,7113,"MCS"
"OSaa18",2,1951,1955,"8526-242",7315,"51-9061","8-49.85",3211,336410,3845,"MCS"
"OSaa18",3,1956,1967,"1145-114",711,"11-9021","2-11.10",4022,236220,5000,"MCS"
"OSaa18",4,1968,1972,"8780-114",7205,"47-1011","7-00.75",4224,238110,5000,"MCS"
"OSaa18",5,1972,1973,"8780-114",9224,"51-1011","7-00.75",4022,236220,5000,"MCS"
"OSaa18",6,1973,1975,"1145-114",711,"11-9021","2-11.10",4022,236220,5000,"MCS"
"OSaa18",7,1975,1975,"2163-199",2253,"17-3019","0-32.70",3541,327330,3699,"MCS"
"OSaa18",8,1976,1978,"8780-114",7205,"47-1011","7-00.75",4022,236220,5000,"MCS"
"OSaa19",1,1940,1945,"6117-190",4313,"55-3016","0-00.00",8111,911110,9100,"MCS"
"OSaa19",2,1946,1974,"5174-118",6411,"41-3011","4-42.30",7741,541810,8325,"MCS"
"OSaa19",3,1975,1984,"4190-199",1211,"43-1011","3-00.10",7741,541810,8325,"MCS"
"OSaa21",1,1941,1943,"4155-122",1524,"43-3061","4-22.30",8111,911110,9100,"MCS"
"OSaa21",2,1944,1947,"1171-162",1111,"13-2011","1-10.20",8131,911310,9100,"MCS"
"OSaa21",3,1948,1948,"1171-114",1111,"13-2011","1-10.10",3999,339990,3529,"MCS"
"OSaa21",4,1949,1974,"1116-118",1228,"13-2081","3-10.10",8153,911910,9100,"MCS"
"OSaa22",1,1948,1950,"9518-199",9619,"51-9198","9-22.90",6011,445110,6200,"MCS"
"OSaa22",2,1951,1954,"2165-246",2232,"17-3027","0-35.10",3592,327990,3699,"MCS"
"OSaa22",3,1955,1956,"4199-202",1411,"43-9199","3-99.90",4531,482113,7111,"MCS"
"OSaa22",4,1956,1984,"2163-126",2251,"27-1025","0-32.50",4511,481110,7131,"MCS"
"OSaa23",1,1939,1946,"8733-110",7242,"49-2093","8-55.35",3271,336611,3841,"MCS"
"OSaa23",2,1946,1975,"3713-110",5251,"27-2021","1-80.20",9641,711211,9490,"MCS"
"OSaa23",3,1948,1981,"9173-110",7513,"53-3041","9-85.30",4581,485310,7113,"MCS"
"OSaa24",1,1934,1939,"5130-114",621,"41-1011","4-10.30",6012,445110,6200,"MCS"
"OSaa24",2,1939,1946,"5193-118",7514,"53-3031","9-85.50",1072,311814,3117,"MCS"
"OSaa24",3,1946,1959,"5133-130",6411,"41-4012","4-32.20",5219,413190,6100,"MCS"
"OSaa24",4,1959,1979,"4135-238",1434,"43-4131","3-39.40",7021,522111,8101,"MCS"
"OSaa29",1,1960,1966,"6112-158",4311,"33-3051","5-82.20",8123,911230,9100,"MCS"
"OSaa29",2,1966,1968,"4159-154",6622,"43-5081","3-91.40",6011,445110,6200,"MCS"
"OSaa29",3,1968,1971,"9175-138",7514,"53-3033","9-85.50",9213,722512,6310,"MCS"
"OSaa29",4,1971,1983,"8785-110",7294,"47-2141","9-31.20",4275,238320,5000,"MCS"
"OSaa30",1,1939,1946,"7181-110",8431,"45-2093","6-21.05",171,112991,1110,"MCS"
"OSaa30",2,1947,1955,"8798-114",7611,"47-2061","9-99.10",4012,236110,5000,"MCS"
"OSaa30",3,1956,1964,"6191-114",6731,"37-2012","5-52.20",8531,611310,9310,"MCS"
"OSaa30",4,1965,1984,"1176-110",2263,"33-2021","5-81.20",8531,611310,9310,"MCS"
"OSaa31",1,1945,1983,"5133-110",6411,"41-4012","4-32.20",5791,417910,6100,"MCS"
"OSaa34",1,1941,1956,"4153-126",1521,"43-5071","3-91.20",5941,414460,6100,"MCS"
"OSaa34",2,1957,1985,"4155-126",1522,"43-5081","3-91.40",2841,511110,3420,"MCS"
"OSaa35",1,1943,1947,"6117-190",4313,"55-3016","0-00.00",8111,911110,9100,"MCS"
"OSaa35",2,1948,1952,"8279-122",9442,"51-6063","7-54.90",1811,313110,3211,"MCS"
"OSaa35",3,1953,1960,"4151-134",1523,"43-5061","3-92.30",3081,332710,3829,"MCS"
"OSaa35",4,1961,1967,"4131-126",1431,"13-1051","3-39.20",3211,336410,3845,"MCS"
"OSaa35",5,1968,1985,"4131-126",1431,"13-1051","3-39.20",3352,334220,3832,"MCS"
"OSaa36",1,1966,1967,"4143-110",2281,"43-9011","3-42.20",8531,611310,9310,"MCS"
"OSaa36",2,1967,1969,"1171-194",1313,"13-2011","1-10.10",7311,524111,8200,"MCS"
"OSaa36",3,1969,1971,"1171-114",1111,"13-2011","1-10.10",7731,541212,8322,"MCS"
"OSaa36",4,1971,1973,"1179-182",1221,"13-2081","3-10.10",4521,488111,7132,"MCS"
"OSaa36",5,1973,1974,"1149-142",714,"11-9141","2-19.90",7512,531310,8310,"MCS"
"OSaa36",6,1974,1978,"1171-114",1111,"13-2011","1-10.10",3372,335990,3831,"MCS"
"OSaa36",7,1978,1979,"4193-110",6521,"41-3041","3-94.40",9961,561510,7191,"MCS"
"OSaa42",1,1936,1938,"4197-114",1411,"43-9061","3-93.10",9721,812320,9520,"MCS"
"OSaa42",2,1939,1940,"8334-386",9418,"51-4041","8-34.10",3231,336120,3843,"MCS"
"OSaa42",3,1941,1945,"6117-190",4313,"55-3016","0-00.00",8111,911110,9100,"MCS"
"OSaa42",4,1946,1957,"8739-130",7244,"49-9051","8-57.50",4821,517111,7200,"MCS"
"OSaa42",5,1958,1966,"8730-118",7202,"49-1011","7-00.80",4821,517111,7200,"MCS"
"OSaa42",6,1967,1981,"2163-138",2253,"17-3012","0-32.30",4821,517111,7200,"MCS"
"OSaa46",1,1950,1958,"8799-266",7611,"47-2061","9-59.45",4211,238910,5000,"MCS"
"OSaa46",2,1958,1962,"8781-110",7271,"47-2031","9-54.10",4011,236110,5000,"MCS"
"OSaa46",3,1962,1973,"8781-110",7271,"47-2031","9-54.10",4011,236110,5000,"MCS"
"OSaa46",4,1973,1983,"9918-199",7611,"47-2061","9-99.10",4222,238190,5000,"MCS"
"OSaa50",1,1957,1969,"4153-126",1521,"43-5071","3-91.20",2499,315249,3220,"MCS"
"OSaa50",2,1970,1971,"9318-118",7452,"53-7062","9-71.45",2433,315220,3220,"MCS"
"OSaa50",3,1972,1972,"9318-122",7452,"53-7064","9-71.50",2811,323119,3420,"MCS"
"OSaa50",4,1973,1983,"8551-162",9445,"51-9031","7-94.50",2432,315220,3220,"MCS"
"OSaa52",1,1927,1946,"8584-110",7311,"49-9041","8-49.40",3199,333248,3824,"MCS"
"OSaa52",2,1946,1982,"5131-134",6221,"41-4011","4-31.20",3199,333248,3824,"MCS"
"OSaa52",3,1982,1982,"2165-199",2233,"17-3026","0-39.20",3199,333248,3824,"MCS"
"OSaa53",1,1942,1951,"7183-122",8431,"45-2092","6-22.20",159,111993,1110,"MCS"
"OSaa53",2,1952,1966,"8371-126",9414,"51-9021","8-20.20",3599,327990,3699,"MCS"
"OSaa53",3,1967,1980,"9318-114",7452,"51-9198","9-99.10",1041,311511,3112,"MCS"
"OSaa53",4,1981,1985,"6191-114",6731,"37-2012","5-52.20",2451,315241,3220,"MCS"
"OSaa54",1,1935,1953,"7131-110",821,"11-9013","6-00.20",119,112991,1110,"MCS"
"OSaa54",2,1954,1965,"8781-110",7271,"47-2031","9-54.10",4274,238350,5000,"MCS"
"OSaa54",3,1966,1980,"8781-110",7271,"47-2031","9-54.10",8611,622111,9331,"MCS"
"OSaa55",1,1946,1966,"9175-110",7511,"53-3032","9-85.50",4561,484110,7114,"MCS"
"OSaa55",2,1967,1984,"9175-110",7511,"53-3032","9-85.50",4561,484110,7114,"MCS"
"OSaa56",1,1938,1944,"5190-199",6211,"41-1011","4-00.30",2432,315220,3220,"MCS"
"OSaa56",2,1947,1982,"1149-126",114,"11-1021","2-19.40",2432,315220,3220,"MCS"
"OSaa57",1,1965,1985,"9512-126",7381,"51-5112","9-22.40",2811,323119,3420,"MCS"
"OSaa58",1,1936,1940,"5141-110",6623,"41-9091","4-52.30",1072,311814,3117,"MCS"
"OSaa58",2,1940,1944,"9113-122",2272,"53-2021","3-80.30",4511,481110,7131,"MCS"
